Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,1.814815,1.913580,1.703704,1.734568,1.060804,106764075
1990-02-01,1.746914,1.993827,1.722222,1.962963,1.200483,88269750
1990-03-01,1.969136,2.333333,1.956790,2.259259,1.382813,149977575
1990-04-01,2.234568,2.388889,2.197531,2.308642,1.413038,93168225
1990-05-01,2.358025,3.043210,2.320988,2.993827,1.832415,184159575
1990-06-01,3.024691,3.111111,2.703704,2.851852,1.745518,161179875
1990-07-01,2.851852,3.231481,2.518519,2.537037,1.552831,162596700
1990-08-01,2.527778,2.777778,2.120370,2.509259,1.536912,265967550
1990-09-01,2.481481,2.611111,2.148148,2.250000,1.379474,136344600
1990-10-01,2.277778,2.527778,1.981481,2.175926,1.334060,215924400
1990-11-01,2.185185,2.694444,2.120370,2.648148,1.623579,179213850
1990-12-01,2.703704,3.037037,2.694444,2.861111,1.755708,127218600
1991-01-01,2.851852,3.287037,2.564815,3.203704,1.965938,182416050
1991-02-01,3.194444,3.759259,3.120370,3.611111,2.215942,198254250
1991-03-01,3.583333,4.046296,3.574074,4.000000,2.454582,122184450
1991-04-01,4.000000,4.462963,3.925926,4.259259,2.615179,159869700
1991-05-01,4.259259,4.944444,4.092593,4.879630,2.996085,150842250
1991-06-01,4.861111,5.166667,4.750000,5.013889,3.078519,132269400
1991-07-01,5.055556,5.513889,4.916667,5.388889,3.308771,145105200
1991-08-01,5.375000,6.013889,5.013889,5.986111,3.677796,137563200
1991-09-01,5.972222,6.152778,5.569444,6.055556,3.722581,102533400
1991-10-01,6.111111,6.361111,5.722222,6.333333,3.893341,123549300
1991-11-01,6.361111,6.833333,6.166667,6.694444,4.115330,140226300
1991-12-01,6.638889,7.791667,6.611111,7.486111,4.604354,141096600
1992-01-01,7.416667,7.986111,6.750000,6.847222,4.211402,227046600
1992-02-01,6.861111,7.541667,6.611111,7.111111,4.373710,140575500
1992-03-01,7.125000,7.430556,6.722222,7.194444,4.424964,124147800
1992-04-01,7.166667,7.625000,6.708333,6.930556,4.264657,172453500
1992-05-01,6.930556,7.888889,6.736111,7.847222,4.828720,144568800
1992-06-01,7.847222,7.930556,7.027778,7.472222,4.601092,157698000
1992-07-01,7.458333,8.437500,7.444444,8.375000,5.156987,105945300
1992-08-01,8.375000,8.916667,8.312500,8.895833,5.477695,127171200
1992-09-01,8.895833,9.500000,8.750000,9.229167,5.686299,107333400
1992-10-01,9.229167,9.708333,8.166667,9.645833,5.943017,143964000
1992-11-01,9.645833,10.166667,9.479167,10.166667,6.263916,110422800
1992-12-01,10.166667,11.437500,10.104167,11.250000,6.934828,121775400
1993-01-01,11.291667,11.312500,10.416667,10.854167,6.690823,126367200
1993-02-01,11.000000,11.229167,9.250000,10.604167,6.536721,178747800
1993-03-01,10.645833,10.833333,10.083333,10.541667,6.498192,137559600
1993-04-01,10.604167,10.604167,8.805556,9.388889,5.790289,262286250
1993-05-01,9.361111,10.444444,9.277778,10.277778,6.338480,115724700
1993-06-01,10.277778,10.416667,9.138889,9.722222,5.995860,113075100
1993-07-01,9.722222,10.027778,9.333333,9.805556,6.051466,64539000
1993-08-01,9.944444,10.500000,8.861111,9.500000,5.862892,189274950
1993-09-01,9.388889,9.416667,7.777778,8.555556,5.283841,224711100
1993-10-01,8.666667,8.916667,8.277778,8.805556,5.438235,95008950
1993-11-01,8.805556,9.833333,8.722222,9.222222,5.695568,117718650
1993-12-01,9.388889,9.611111,8.666667,8.777778,5.424980,89785350
1994-01-01,8.777778,9.000000,8.111111,8.666667,5.356311,147197250
1994-02-01,8.666667,9.444444,8.250000,9.250000,5.716831,119165850
1994-03-01,9.250000,9.916667,8.666667,9.055556,5.596654,137023200
1994-04-01,8.833333,9.611111,8.777778,9.333333,5.772555,77763150
1994-05-01,9.388889,10.305556,8.805556,10.027778,6.202064,116264700
1994-06-01,10.000000,10.305556,9.083333,9.361111,5.789737,98008650
1994-07-01,9.416667,9.833333,8.888889,9.083333,5.622878,80594550
1994-08-01,9.055556,10.277778,8.833333,10.055556,6.224714,130652100
1994-09-01,9.888889,10.000000,9.250000,9.333333,5.777638,89096400
1994-10-01,9.388889,10.222222,9.083333,10.111111,6.264787,88499700
1994-11-01,10.083333,10.722222,9.888889,10.277778,6.368052,123904350
1994-12-01,10.222222,10.500000,9.805556,10.222222,6.333631,90022050
1995-01-01,10.194444,10.777778,9.916667,10.388889,6.442469,75996450
1995-02-01,10.388889,11.111111,9.777778,9.972222,6.184081,136977300
1995-03-01,10.000000,10.333333,9.416667,9.833333,6.103187,156234600
1995-04-01,9.805556,9.833333,8.944444,9.277778,5.758375,149049900
1995-05-01,9.277778,10.000000,8.861111,9.250000,5.741132,239835600
1995-06-01,9.305556,9.666667,8.583333,9.055556,5.620447,256795650
1995-07-01,9.000000,10.055556,9.000000,9.777778,6.076139,150221250
1995-08-01,9.777778,9.972222,8.833333,8.888889,5.523762,121608900
1995-09-01,8.916667,9.527778,8.555556,8.861111,5.506499,226980000
1995-10-01,8.861111,8.916667,8.138889,8.277778,5.150189,184977000
1995-11-01,8.277778,9.972222,8.277778,9.861111,6.135291,182070450
1995-12-01,9.888889,10.666667,9.527778,10.611111,6.601921,135653400
1996-01-01,10.555556,10.555556,9.222222,10.222222,6.367200,161351100
1996-02-01,10.222222,10.666667,9.500000,9.611111,5.986552,132093450
1996-03-01,9.777778,11.194444,9.611111,10.611111,6.609432,175555800
1996-04-01,10.666667,10.694444,9.444444,10.527778,6.564273,151977600
1996-05-01,10.472222,11.916667,10.111111,11.361111,7.083874,164262150
1996-06-01,11.305556,12.694444,11.222222,12.000000,7.482234,122950800
1996-07-01,12.027778,12.333333,10.666667,11.194444,6.987577,143292150
1996-08-01,11.222222,12.416667,11.166667,11.805556,7.369030,105200550
1996-09-01,11.555556,13.166667,11.527778,12.638889,7.889203,101001600
1996-10-01,12.750000,13.222222,11.722222,12.194444,7.620090,115792200
1996-11-01,12.166667,12.722222,11.277778,11.583333,7.238216,177474600
1996-12-01,11.722222,11.916667,10.722222,11.138889,6.960489,151106400
