Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,0.314732,0.345982,0.286830,0.303571,0.242176,3747497600
1990-02-01,0.308036,0.314732,0.287946,0.303571,0.242176,2483891200
1990-03-01,0.299107,0.387277,0.296875,0.359375,0.287618,4556473600
1990-04-01,0.357143,0.395089,0.340402,0.351563,0.281366,3642475200
1990-05-01,0.354911,0.381696,0.345982,0.368304,0.294764,4115630400
1990-06-01,0.369420,0.400670,0.334821,0.399554,0.320661,3952054400
1990-07-01,0.397321,0.426339,0.357143,0.375000,0.300955,4163812800
1990-08-01,0.375000,0.390625,0.299107,0.330357,0.265127,3128339200
1990-09-01,0.325893,0.334821,0.243304,0.258929,0.208431,2206948800
1990-10-01,0.263393,0.285714,0.216518,0.274554,0.221009,5056116800
1990-11-01,0.272321,0.343750,0.265625,0.328125,0.264132,3254608000
1990-12-01,0.332589,0.404018,0.330357,0.383929,0.310086,4094092800
1991-01-01,0.381696,0.500000,0.375000,0.495536,0.400227,7037307200
1991-02-01,0.495536,0.555804,0.488839,0.511161,0.412847,5545780800
1991-03-01,0.508929,0.627232,0.508929,0.607143,0.491400,5210598400
1991-04-01,0.607143,0.654018,0.486607,0.491071,0.397455,7243051200
1991-05-01,0.428571,0.479911,0.392857,0.419643,0.339644,7972843200
1991-06-01,0.419643,0.441964,0.359375,0.370536,0.300666,4091662400
1991-07-01,0.377232,0.430804,0.372768,0.412946,0.335079,3783494400
1991-08-01,0.410714,0.495536,0.408482,0.473214,0.383983,4172649600
1991-09-01,0.470982,0.477679,0.415179,0.441964,0.359435,2393070400
1991-10-01,0.439732,0.502232,0.415179,0.459821,0.373957,3593990400
1991-11-01,0.457589,0.493304,0.424107,0.453125,0.368512,3696033600
1991-12-01,0.453125,0.517857,0.433036,0.503348,0.410341,2607169600
1992-01-01,0.497768,0.616071,0.495536,0.578125,0.471301,4703160000
1992-02-01,0.578125,0.625000,0.551339,0.602679,0.491318,2534996800
1992-03-01,0.604911,0.611607,0.515625,0.520089,0.424782,2985662400
1992-04-01,0.511161,0.546875,0.473214,0.536830,0.438455,3931390400
1992-05-01,0.535714,0.564732,0.520089,0.533482,0.435720,2703724800
1992-06-01,0.511161,0.531250,0.381696,0.428571,0.350034,4851683200
1992-07-01,0.428571,0.441964,0.388393,0.417411,0.341605,3632809600
1992-08-01,0.417411,0.421875,0.370536,0.410714,0.336125,2746531200
1992-09-01,0.412946,0.446429,0.390625,0.402902,0.330617,3055662400
1992-10-01,0.399554,0.482143,0.370536,0.468750,0.384652,3531427200
1992-11-01,0.468750,0.531250,0.459821,0.513393,0.421285,3126547200
1992-12-01,0.511161,0.546875,0.486607,0.533482,0.438702,3334318400
1993-01-01,0.531250,0.582589,0.511161,0.531250,0.436866,5542264000
1993-02-01,0.529018,0.549107,0.459821,0.473214,0.389141,4651281600
1993-03-01,0.473214,0.515625,0.448661,0.459821,0.378952,3661526400
1993-04-01,0.457589,0.468750,0.417411,0.457589,0.377113,3914411200
1993-05-01,0.457589,0.527902,0.455357,0.505580,0.416663,3200545600
1993-06-01,0.504464,0.520089,0.343750,0.352679,0.291261,7674396800
1993-07-01,0.348214,0.354911,0.227679,0.247768,0.204620,7142912000
1993-08-01,0.252232,0.274554,0.231027,0.236607,0.195402,3683164800
1993-09-01,0.236607,0.241071,0.205357,0.208705,0.173118,3668022400
1993-10-01,0.203125,0.287946,0.196429,0.274554,0.227739,5905323200
1993-11-01,0.274554,0.312500,0.265625,0.281250,0.233293,3452108800
1993-12-01,0.285714,0.290179,0.236607,0.261161,0.217408,3956971200
1994-01-01,0.263393,0.314732,0.256696,0.292411,0.243423,7332035200
